,eye,mouth,color,body,ear,tail
1,呆头呆脑,哒卟溜,三花牛奶,橙味酸奶,橘子奶糖,盐焗虾仁
2,健气阳光,有点意思,浅棕虎斑,牛奶咖啡,芝麻汤圆,甜心公主
3,灵动妩媚,非愉悦状态,三花咖啡,冬日暖阳,豆沙栗子馅,一勺可可
4,天真无邪,不可思议,深棕虎斑,红豆奶茶,粉色恋歌,烤橘子
5,浩然正气,可可爱爱,两撇八字,一杯可可,烤可可豆,灰芦苇丛
7,微微一笑,略略略,一圈蒙眼,极黑骇客,无月夜行,鲜芋奶茶
8,有点丧,大猫开心,极致纯净,奶油雪顶,喵喵奶糖,激辣芥末
9,猫猫震惊,咬唇,吐司面包,丁香长巷,芋泥波波,甜糯米糍
10,眯眯眼,痞里痞气,一块曲奇,抹茶蛋糕,抹茶森林,暗影永随
11,我超强,饿了,热血传奇,巧克葡萄,冰葡美式,焦糖烤橘
13,晕晕乎乎,开开心心,经典老花,烟雨青蓝,蓝天白云,牛仔布片
15,一见倾心,大吃一惊,阴阳双生,一颗蛋黄,姜汁撞奶,蓝雪花开
17,蓝棕异度,大猫生气,万物生长,灰色深空,墨染天边,流樱漫漫
20,繁星点点,傲娇,斑马面条,樱花布丁,樱雨绵绵,蜂蜜奶油
25,豆豆眼,嘟嘟嘴,心心相印,橘里橘气,大橘为重,葡萄软糖
